RM1120200.012
Embrapa_ 02/02/2011 00:00:28 02/02/2011 00:01:29 0100 -060.0 -002.9 -90 00 30.0 1013.0
0000600 0010 0000600 0010 05
1 0 1 04000 1 0960 7.50 00355.o 0 0 00 000 12 000600 0.500 BT0
1 1 1 04000 1 0960 7.50 00355.o 0 0 00 000 00 000600 3.1746 BC0
1 0 2 04000 1 0990 7.50 00387.o 0 0 00 000 12 000600 0.020 BT1
1 1 2 04000 1 0990 7.50 00387.o 0 0 00 000 00 000600 3.1746 BC1
1 1 2 04000 1 0990 7.50 00408.o 0 0 00 000 00 000600 3.1746 BC2
355.000 .o analog 0 	355.000 .o photon 0 	387.000 .o analog 1 	387.000 .o photon 1 	408.000 .o photon 2 
  3.4226	145.0667	  2.3923	 41.1000	  0.9000
  3.5270	144.2667	  2.4033	 43.5667	  1.1000
  3.5468	142.9667	  2.4085	 45.1333	  1.1000
  3.7010	141.1333	  2.4399	 44.8667	  1.1333
  4.1117	138.8000	  2.4471	 42.4667	  0.8667
  8.7952	137.3667	  2.4776	 37.8333	  0.8667
 22.1700	139.7333	  2.5247	 30.4333	  0.8667
 38.3437	141.5000	  2.5266	 26.2333	  0.7000
 74.8059	142.4333	  2.5796	 19.9667	  0.6000
132.9211	142.9667	  2.6312	 14.9333	  0.2000
240.4991	144.9667	  2.7150	 11.8333	  0.2667
338.3083	146.1333	  2.7285	  9.9333	  0.0667
407.3069	146.3333	  2.7458	  5.9333	  0.1667
433.6723	147.9667	  2.7394	  4.2000	  0.1667
411.2832	146.1667	  2.6750	  3.0333	  0.0333
363.5437	140.9667	  2.5895	  2.3667	  0.0333
309.8665	128.8667	  2.4758	  2.1333	  0.0667
247.8469	112.1333	  2.3712	  1.8667	  0.0000
189.9624	 82.1000	  2.2946	  0.9667	  0.0333
137.8166	 47.3333	  2.2149	  0.8000	  0.0333
 96.8689	 12.9667	  2.1639	  0.7667	  0.0333
 65.3092	  5.2667	  2.1289	  0.7667	  0.0000
 47.0703	  4.5667	  2.0801	  0.8667	  0.0333
 32.0245	  3.6333	  2.0562	  0.6000	  0.0000
 22.3706	  2.9667	  2.0444	  0.3667	  0.0000
 15.8018	  2.2667	  2.0360	  0.5000	  0.0000
 11.2838	  1.8667	  2.0294	  0.4000	  0.0000
  7.8874	  2.2000	  2.0232	  0.5000	  0.0000
  4.7028	  2.6667	  2.0130	  0.3333	  0.0000
  2.7279	  2.3667	  2.0121	  0.4000	  0.0667
  2.2929	  1.8333	  2.0108	  0.4333	  0.0000
  2.1942	  2.0000	  2.0123	  0.5333	  0.0000
  2.1004	  1.6667	  2.0134	  0.3333	  0.0000
  2.0481	  1.3000	  2.0077	  0.1667	  0.0000
  1.9777	  1.4333	  2.0060	  0.2333	  0.0000
  1.9297	  1.2333	  2.0047	  0.3000	  0.0000
  1.9047	  1.1333	  2.0061	  0.4000	  0.0000
  1.8811	  1.2333	  2.0050	  0.2333	  0.0000
  1.8612	  1.5333	  2.0029	  0.4000	  0.0000
  1.8199	  1.2667	  2.0044	  0.3000	  0.0000
  1.8030	  1.0667	  2.0058	  0.1667	  0.0000
  1.7924	  0.9667	  2.0035	  0.1667	  0.0000
  1.7702	  0.8333	  2.0033	  0.2333	  0.0000
  1.7517	  0.6000	  2.0023	  0.2333	  0.0000
  1.7395	  0.5667	  2.0019	  0.1333	  0.0000
  1.7222	  1.0000	  2.0028	  0.2667	  0.0000
  1.7206	  1.0000	  2.0028	  0.3000	  0.0000
  1.7169	  0.6000	  2.0026	  0.2000	  0.0000
  1.7021	  1.1333	  2.0035	  0.1000	  0.0000
  1.6862	  1.3000	  2.0014	  0.2667	  0.0333
  1.6927	  0.7000	  2.0005	  0.1333	  0.0000
  1.6779	  0.6333	  2.0002	  0.1667	  0.0000
  1.6687	  0.9000	  2.0007	  0.1333	  0.0000
  1.6667	  0.7000	  2.0002	  0.1333	  0.0000
  1.6671	  0.5333	  2.0013	  0.1000	  0.0000
  1.6681	  0.5667	  2.0029	  0.1000	  0.0333
  1.6610	  0.3667	  2.0019	  0.1667	  0.0000
  1.6589	  0.3333	  1.9998	  0.2333	  0.0000
  1.6671	  0.4000	  2.0009	  0.2333	  0.0000
  1.6563	  0.6000	  2.0009	  0.1333	  0.0000
  1.6469	  0.6333	  1.9992	  0.1667	  0.0000
  1.6457	  0.4333	  2.0009	  0.0333	  0.0000
  1.6500	  0.6333	  2.0000	  0.2000	  0.0000
  1.6447	  0.2333	  1.9994	  0.0667	  0.0000
  1.6414	  0.7667	  1.9984	  0.0333	  0.0000
  1.6341	  0.4667	  2.0011	  0.0667	  0.0000
  1.6294	  0.4000	  2.0005	  0.0667	  0.0000
  1.6345	  0.3667	  2.0009	  0.0333	  0.0333
  1.6315	  0.3667	  2.0003	  0.1000	  0.0000
  1.6323	  0.3667	  2.0001	  0.1000	  0.0000
  1.6317	  0.6333	  1.9988	  0.0667	  0.0000
  1.6331	  0.4000	  1.9995	  0.2000	  0.0000
  1.6329	  0.3333	  2.0012	  0.1000	  0.0333
  1.6335	  0.5000	  1.9983	  0.0000	  0.0000
  1.6278	  0.1667	  1.9989	  0.0333	  0.0000
  1.6374	  0.2667	  1.9997	  0.0333	  0.0000
  1.6266	  0.5667	  1.9989	  0.1000	  0.0333
  1.6256	  0.5000	  1.9985	  0.1000	  0.0000
  1.6313	  0.6333	  1.9993	  0.0667	  0.0000
  1.6280	  0.4667	  1.9980	  0.0667	  0.0000
  1.6278	  0.2667	  1.9981	  0.0000	  0.0000
  1.6270	  0.3000	  1.9997	  0.1333	  0.0000
  1.6256	  0.5000	  1.9987	  0.2667	  0.0000
  1.6180	  0.3333	  1.9981	  0.0667	  0.0000
  1.6237	  0.4000	  1.9980	  0.1667	  0.0000
  1.6227	  0.4333	  1.9987	  0.0333	  0.0000
  1.6248	  0.4333	  1.9993	  0.1000	  0.0000
  1.6286	  0.3667	  1.9985	  0.1333	  0.0000
  1.6227	  0.5667	  2.0001	  0.0333	  0.0000
  1.6209	  0.4667	  1.9983	  0.0000	  0.0000
  1.6250	  0.1333	  1.9996	  0.1000	  0.0000
  1.6307	  0.2333	  2.0021	  0.0000	  0.0000
  1.6268	  0.2000	  2.0015	  0.1000	  0.0000
  1.6254	  0.2333	  1.9985	  0.0333	  0.0000
  1.6250	  0.2333	  1.9998	  0.1667	  0.0000
  1.6290	  0.3000	  1.9981	  0.2000	  0.0000
  1.6239	  0.2000	  2.0005	  0.0333	  0.0000
  1.6252	  0.2667	  1.9999	  0.0333	  0.0000
  1.6284	  0.2000	  1.9976	  0.1000	  0.0000
  1.6195	  0.2333	  1.9973	  0.2000	  0.0000
